scenario,policy,timestamp,state,equity,drawdown_pct
fee_0.00050_slip_0.00010,A_emitted_alerts,2022-08-28T00:00:00Z,FLAT,10000,0
fee_0.00050_slip_0.00010,A_emitted_alerts,2022-08-30T04:40:00Z,FLAT,10009.89264,0.0053
fee_0.00050_slip_0.00010,A_emitted_alerts,2022-08-31T21:35:00Z,FLAT,10004.12209,0.0959
fee_0.00050_slip_0.00010,A_emitted_alerts,2022-09-02T10:35:00Z,FLAT,9996.762786,0.1694
fee_0.00050_slip_0.00010,A_emitted_alerts,2022-09-05T04:45:00Z,FLAT,9993.45665,0.2024
fee_0.00050_slip_0.00010,A_emitted_alerts,2022-09-09T23:55:00Z,OPEN,9991.601201,0.2209
fee_0.00050_slip_0.00010,A_emitted_alerts,2022-09-10T19:25:00Z,FLAT,9992.459831,0.2124
fee_0.00050_slip_0.00010,A_emitted_alerts,2022-09-11T23:55:00Z,OPEN,9975.623028,0.3805
fee_0.00050_slip_0.00010,A_emitted_alerts,2022-09-12T20:30:00Z,FLAT,9987.32876,0.2636
fee_0.00050_slip_0.00010,A_emitted_alerts,2022-09-13T11:05:00Z,FLAT,9983.620062,0.3006
fee_0.00050_slip_0.00010,A_emitted_alerts,2022-09-18T04:00:00Z,FLAT,9980.653753,0.3303
fee_0.00050_slip_0.00010,A_emitted_alerts,2022-09-22T23:55:00Z,OPEN,9981.559776,0.3212
fee_0.00050_slip_0.00010,A_emitted_alerts,2022-09-23T05:45:00Z,FLAT,9973.70325,0.3997
fee_0.00050_slip_0.00010,A_emitted_alerts,2022-09-24T22:00:00Z,FLAT,9958.997578,0.5465
fee_0.00050_slip_0.00010,A_emitted_alerts,2022-09-25T13:25:00Z,FLAT,9954.337208,0.5931
fee_0.00050_slip_0.00010,A_emitted_alerts,2022-09-26T23:55:00Z,OPEN,9953.418863,0.6022
fee_0.00050_slip_0.00010,A_emitted_alerts,2022-09-27T11:25:00Z,FLAT,9956.508729,0.5714
fee_0.00050_slip_0.00010,A_emitted_alerts,2022-09-28T22:45:00Z,FLAT,9948.714235,0.6492
fee_0.00050_slip_0.00010,A_emitted_alerts,2022-09-29T21:55:00Z,FLAT,9923.206761,0.9039
fee_0.00050_slip_0.00010,A_emitted_alerts,2022-09-30T15:25:00Z,FLAT,9950.720335,0.6292
fee_0.00050_slip_0.00010,A_emitted_alerts,2022-10-04T20:25:00Z,FLAT,9958.015434,0.5563
fee_0.00050_slip_0.00010,A_emitted_alerts,2022-10-05T23:55:00Z,OPEN,9949.307319,0.6433
fee_0.00050_slip_0.00010,A_emitted_alerts,2022-10-06T13:20:00Z,FLAT,9948.040473,0.6559
fee_0.00050_slip_0.00010,A_emitted_alerts,2022-10-14T14:15:00Z,FLAT,9938.606917,0.7502
fee_0.00050_slip_0.00010,A_emitted_alerts,2022-10-17T23:20:00Z,FLAT,9931.918271,0.8169
fee_0.00050_slip_0.00010,A_emitted_alerts,2022-10-18T13:35:00Z,FLAT,9924.064595,0.8954
fee_0.00050_slip_0.00010,A_emitted_alerts,2022-10-22T22:50:00Z,FLAT,9920.810837,0.9279
fee_0.00050_slip_0.00010,A_emitted_alerts,2022-10-23T05:15:00Z,FLAT,9915.831584,0.9776
fee_0.00050_slip_0.00010,A_emitted_alerts,2022-10-24T11:20:00Z,FLAT,9911.956188,1.0163
fee_0.00050_slip_0.00010,A_emitted_alerts,2022-10-25T14:05:00Z,FLAT,9916.797764,0.9679
fee_0.00050_slip_0.00010,A_emitted_alerts,2022-10-26T23:25:00Z,FLAT,9912.533428,1.0105
fee_0.00050_slip_0.00010,A_emitted_alerts,2022-10-27T14:10:00Z,FLAT,9902.120322,1.1145
fee_0.00050_slip_0.00010,A_emitted_alerts,2022-10-28T21:40:00Z,FLAT,9898.467988,1.151
fee_0.00050_slip_0.00010,A_emitted_alerts,2022-10-29T22:55:00Z,FLAT,9899.024933,1.1454
fee_0.00050_slip_0.00010,A_emitted_alerts,2022-10-30T07:05:00Z,FLAT,9897.628904,1.1594
fee_0.00050_slip_0.00010,A_emitted_alerts,2022-11-01T11:45:00Z,FLAT,9891.178319,1.2238
fee_0.00050_slip_0.00010,A_emitted_alerts,2022-11-04T21:40:00Z,FLAT,9904.195877,1.0938
fee_0.00050_slip_0.00010,A_emitted_alerts,2022-11-05T21:45:00Z,FLAT,9898.638876,1.1493
fee_0.00050_slip_0.00010,A_emitted_alerts,2022-11-06T10:05:00Z,FLAT,9894.27278,1.1929
fee_0.00050_slip_0.00010,A_emitted_alerts,2022-11-15T22:30:00Z,FLAT,9897.320785,1.1624
fee_0.00050_slip_0.00010,A_emitted_alerts,2022-11-16T04:35:00Z,FLAT,9895.775416,1.1779
fee_0.00050_slip_0.00010,A_emitted_alerts,2022-11-18T14:25:00Z,FLAT,9889.586798,1.2397
fee_0.00050_slip_0.00010,A_emitted_alerts,2022-11-20T09:05:00Z,FLAT,9881.802661,1.3174
fee_0.00050_slip_0.00010,A_emitted_alerts,2022-11-22T20:40:00Z,FLAT,9880.559535,1.3298
fee_0.00050_slip_0.00010,A_emitted_alerts,2022-11-23T23:55:00Z,OPEN,9877.239814,1.363
fee_0.00050_slip_0.00010,A_emitted_alerts,2022-11-24T23:55:00Z,OPEN,9857.164048,1.5635
fee_0.00050_slip_0.00010,A_emitted_alerts,2022-11-25T23:55:00Z,OPEN,9842.411915,1.7108
fee_0.00050_slip_0.00010,A_emitted_alerts,2022-11-26T15:45:00Z,FLAT,9835.100646,1.7838
fee_0.00050_slip_0.00010,A_emitted_alerts,2022-11-27T21:40:00Z,FLAT,9827.581641,1.8589
fee_0.00050_slip_0.00010,A_emitted_alerts,2022-11-29T21:25:00Z,FLAT,9822.368539,1.9109
fee_0.00050_slip_0.00010,A_emitted_alerts,2022-11-30T19:50:00Z,FLAT,9823.560782,1.899
