policy,sequence,kind,signal_close_at,scheduled_at,actual_at,price,quantity,reason,trade_id
A_emitted_alerts,1,ENTRY_FILLED,2022-08-30T04:15:00Z,2022-08-30T04:20:00Z,2022-08-30T04:20:00Z,20349.43474,0.04914141414,,A_emitted_alerts-T00001-01176
A_emitted_alerts,1,EXIT_FILLED,2022-08-30T04:15:00Z,2022-08-30T05:20:00Z,2022-08-30T05:20:00Z,20365.26327,0.04914141414,,A_emitted_alerts-T00001-01176
A_emitted_alerts,2,ENTRY_FILLED,2022-09-02T03:45:00Z,2022-09-02T03:50:00Z,2022-09-02T03:50:00Z,20175.31733,0.04956551531,,A_emitted_alerts-T00002-01178
A_emitted_alerts,2,EXIT_FILLED,2022-09-02T03:45:00Z,2022-09-02T04:50:00Z,2022-09-02T04:50:00Z,20173.48245,0.04956551531,,A_emitted_alerts-T00002-01178
A_emitted_alerts,3,ENTRY_FILLED,2022-09-10T05:00:00Z,2022-09-10T05:05:00Z,2022-09-10T05:05:00Z,21432.44303,0.0466582367,,A_emitted_alerts-T00003-01180
A_emitted_alerts,3,EXIT_FILLED,2022-09-10T05:00:00Z,2022-09-10T06:05:00Z,2022-09-10T06:05:00Z,21543.24546,0.0466582367,,A_emitted_alerts-T00003-01180
A_emitted_alerts,4,ENTRY_FILLED,2022-09-10T17:00:00Z,2022-09-10T17:05:00Z,2022-09-10T17:05:00Z,21364.93628,0.04680566265,,A_emitted_alerts-T00004-01182
A_emitted_alerts,4,EXIT_FILLED,2022-09-10T17:00:00Z,2022-09-10T18:05:00Z,2022-09-10T18:05:00Z,21295.97019,0.04680566265,,A_emitted_alerts-T00004-01182
A_emitted_alerts,5,ENTRY_FILLED,2022-09-11T08:45:00Z,2022-09-11T08:50:00Z,2022-09-11T08:50:00Z,21662.76606,0.04616215663,,A_emitted_alerts-T00005-01184
A_emitted_alerts,5,EXIT_FILLED,2022-09-11T08:45:00Z,2022-09-11T09:50:00Z,2022-09-11T09:50:00Z,21608.03898,0.04616215663,,A_emitted_alerts-T00005-01184
A_emitted_alerts,6,ENTRY_FILLED,2022-09-11T16:15:00Z,2022-09-11T16:20:00Z,2022-09-11T16:20:00Z,21693.46913,0.04609682269,,A_emitted_alerts-T00006-01186
A_emitted_alerts,6,EXIT_FILLED,2022-09-11T16:15:00Z,2022-09-11T17:20:00Z,2022-09-11T17:20:00Z,21692.8305,0.04609682269,,A_emitted_alerts-T00006-01186
A_emitted_alerts,7,ENTRY_FILLED,2022-09-11T21:15:00Z,2022-09-11T21:20:00Z,2022-09-11T21:20:00Z,21700.26981,0.04608237634,,A_emitted_alerts-T00007-01188
A_emitted_alerts,7,EXIT_FILLED,2022-09-11T21:15:00Z,2022-09-11T22:20:00Z,2022-09-11T22:20:00Z,21590.24076,0.04608237634,,A_emitted_alerts-T00007-01188
A_emitted_alerts,8,ENTRY_FILLED,2022-09-11T23:45:00Z,2022-09-11T23:50:00Z,2022-09-11T23:50:00Z,21776.07739,0.04592195289,,A_emitted_alerts-T00008-01190
A_emitted_alerts,8,EXIT_FILLED,2022-09-11T23:45:00Z,2022-09-12T00:50:00Z,2022-09-12T00:50:00Z,21703.42944,0.04592195289,,A_emitted_alerts-T00008-01190
A_emitted_alerts,9,ENTRY_FILLED,2022-09-12T07:15:00Z,2022-09-12T07:20:00Z,2022-09-12T07:20:00Z,21861.88597,0.0457417078,,A_emitted_alerts-T00009-01192
A_emitted_alerts,9,EXIT_FILLED,2022-09-12T07:15:00Z,2022-09-12T08:20:00Z,2022-09-12T08:20:00Z,22137.786,0.0457417078,,A_emitted_alerts-T00009-01192
A_emitted_alerts,10,ENTRY_FILLED,2022-09-12T20:00:00Z,2022-09-12T20:05:00Z,2022-09-12T20:05:00Z,22423.64214,0.0445957884,,A_emitted_alerts-T00010-01194
A_emitted_alerts,10,EXIT_FILLED,2022-09-12T20:00:00Z,2022-09-12T21:05:00Z,2022-09-12T21:05:00Z,22377.762,0.0445957884,,A_emitted_alerts-T00010-01194
A_emitted_alerts,11,ENTRY_FILLED,2022-09-13T05:15:00Z,2022-09-13T05:20:00Z,2022-09-13T05:20:00Z,22358.83566,0.04472504808,,A_emitted_alerts-T00011-01196
A_emitted_alerts,11,EXIT_FILLED,2022-09-13T05:15:00Z,2022-09-13T06:20:00Z,2022-09-13T06:20:00Z,22409.15886,0.04472504808,,A_emitted_alerts-T00011-01196
A_emitted_alerts,12,ENTRY_FILLED,2022-09-23T04:30:00Z,2022-09-23T04:35:00Z,2022-09-23T04:35:00Z,19442.54406,0.05143359824,,A_emitted_alerts-T00012-01198
A_emitted_alerts,12,EXIT_FILLED,2022-09-23T04:30:00Z,2022-09-23T05:35:00Z,2022-09-23T05:35:00Z,19389.76083,0.05143359824,,A_emitted_alerts-T00012-01198
A_emitted_alerts,13,ENTRY_FILLED,2022-09-24T16:00:00Z,2022-09-24T16:05:00Z,2022-09-24T16:05:00Z,19151.11492,0.0522162811,,A_emitted_alerts-T00013-01200
A_emitted_alerts,13,EXIT_FILLED,2022-09-24T16:00:00Z,2022-09-24T17:05:00Z,2022-09-24T17:05:00Z,19107.0891,0.0522162811,,A_emitted_alerts-T00013-01200
A_emitted_alerts,14,ENTRY_FILLED,2022-09-24T21:00:00Z,2022-09-24T21:05:00Z,2022-09-24T21:05:00Z,19128.61267,0.05227770656,,A_emitted_alerts-T00014-01202
A_emitted_alerts,14,EXIT_FILLED,2022-09-24T21:00:00Z,2022-09-24T22:05:00Z,2022-09-24T22:05:00Z,18915.50826,0.05227770656,,A_emitted_alerts-T00014-01202
A_emitted_alerts,15,ENTRY_FILLED,2022-09-26T19:15:00Z,2022-09-26T19:20:00Z,2022-09-26T19:20:00Z,19159.51576,0.05219338591,,A_emitted_alerts-T00015-01204
A_emitted_alerts,15,EXIT_FILLED,2022-09-26T19:15:00Z,2022-09-26T20:20:00Z,2022-09-26T20:20:00Z,19140.98571,0.05219338591,,A_emitted_alerts-T00015-01204
A_emitted_alerts,16,ENTRY_FILLED,2022-09-26T23:45:00Z,2022-09-26T23:50:00Z,2022-09-26T23:50:00Z,19182.11802,0.05213188653,,A_emitted_alerts-T00016-01206
A_emitted_alerts,16,EXIT_FILLED,2022-09-26T23:45:00Z,2022-09-27T00:50:00Z,2022-09-27T00:50:00Z,19341.16569,0.05213188653,,A_emitted_alerts-T00016-01206
A_emitted_alerts,17,ENTRY_FILLED,2022-09-29T05:00:00Z,2022-09-29T05:05:00Z,2022-09-29T05:05:00Z,19558.45565,0.05112878122,,A_emitted_alerts-T00017-01208
A_emitted_alerts,17,EXIT_FILLED,2022-09-29T05:00:00Z,2022-09-29T06:05:00Z,2022-09-29T06:05:00Z,19413.45846,0.05112878122,,A_emitted_alerts-T00017-01208
A_emitted_alerts,18,ENTRY_FILLED,2022-09-29T10:00:00Z,2022-09-29T10:05:00Z,2022-09-29T10:05:00Z,19440.64387,0.05143862553,,A_emitted_alerts-T00018-01210
A_emitted_alerts,18,EXIT_FILLED,2022-09-29T10:00:00Z,2022-09-29T11:05:00Z,2022-09-29T11:05:00Z,19370.26278,0.05143862553,,A_emitted_alerts-T00018-01210
A_emitted_alerts,19,ENTRY_FILLED,2022-09-30T07:15:00Z,2022-09-30T07:20:00Z,2022-09-30T07:20:00Z,19513.45115,0.05124670118,,A_emitted_alerts-T00019-01212
A_emitted_alerts,19,EXIT_FILLED,2022-09-30T07:15:00Z,2022-09-30T08:20:00Z,2022-09-30T08:20:00Z,19554.54435,0.05124670118,,A_emitted_alerts-T00019-01212
A_emitted_alerts,20,ENTRY_FILLED,2022-09-30T14:45:00Z,2022-09-30T14:50:00Z,2022-09-30T14:50:00Z,19989.89879,0.05002526579,,A_emitted_alerts-T00020-01214
A_emitted_alerts,20,EXIT_FILLED,2022-09-30T14:45:00Z,2022-09-30T15:50:00Z,2022-09-30T15:50:00Z,19893.31047,0.05002526579,,A_emitted_alerts-T00020-01214
A_emitted_alerts,21,ENTRY_FILLED,2022-10-04T06:00:00Z,2022-10-04T06:05:00Z,2022-10-04T06:05:00Z,19593.65917,0.05103691921,,A_emitted_alerts-T00021-01216
A_emitted_alerts,21,EXIT_FILLED,2022-10-04T06:00:00Z,2022-10-04T07:05:00Z,2022-10-04T07:05:00Z,19850.21478,0.05103691921,,A_emitted_alerts-T00021-01216
A_emitted_alerts,22,ENTRY_FILLED,2022-10-04T14:15:00Z,2022-10-04T14:20:00Z,2022-10-04T14:20:00Z,20158.21562,0.04960756541,,A_emitted_alerts-T00022-01218
A_emitted_alerts,22,EXIT_FILLED,2022-10-04T14:15:00Z,2022-10-04T15:20:00Z,2022-10-04T15:20:00Z,20081.09169,0.04960756541,,A_emitted_alerts-T00022-01218
A_emitted_alerts,23,ENTRY_FILLED,2022-10-04T20:15:00Z,2022-10-04T20:20:00Z,2022-10-04T20:20:00Z,20215.82138,0.04946620675,,A_emitted_alerts-T00023-01220
A_emitted_alerts,23,EXIT_FILLED,2022-10-04T20:15:00Z,2022-10-04T21:20:00Z,2022-10-04T21:20:00Z,20348.66493,0.04946620675,,A_emitted_alerts-T00023-01220
A_emitted_alerts,24,ENTRY_FILLED,2022-10-05T07:45:00Z,2022-10-05T07:50:00Z,2022-10-05T07:50:00Z,20261.92599,0.04935364982,,A_emitted_alerts-T00024-01222
A_emitted_alerts,24,EXIT_FILLED,2022-10-05T07:45:00Z,2022-10-05T08:50:00Z,2022-10-05T08:50:00Z,20129.48685,0.04935364982,,A_emitted_alerts-T00024-01222
A_emitted_alerts,25,ENTRY_FILLED,2022-10-05T23:15:00Z,2022-10-05T23:20:00Z,2022-10-05T23:20:00Z,20148.81468,0.04963071108,,A_emitted_alerts-T00025-01224
A_emitted_alerts,25,EXIT_FILLED,2022-10-05T23:15:00Z,2022-10-06T00:20:00Z,2022-10-06T00:20:00Z,20264.67333,0.04963071108,,A_emitted_alerts-T00025-01224
A_emitted_alerts,26,ENTRY_FILLED,2022-10-06T12:30:00Z,2022-10-06T12:35:00Z,2022-10-06T12:35:00Z,20293.0291,0.04927800552,,A_emitted_alerts-T00026-01226
