policy,timestamp,state,mark_price,quantity,cash,reserved,unrealized_pnl,equity,drawdown_pct
A_emitted_alerts,2022-08-28T00:00:00Z,FLAT,,0,10000,0,0,10000,0
A_emitted_alerts,2022-08-30T05:20:00Z,FLAT,20367.3,0,9999.777447,0,0,9999.777447,9.1425
A_emitted_alerts,2022-08-30T05:20:00Z,FLAT,20367.3,0,9999.777447,0,0,9999.777447,9.1425
A_emitted_alerts,2022-09-02T04:50:00Z,FLAT,20175.5,0,9998.686546,0,0,9998.686546,9.1524
A_emitted_alerts,2022-09-02T04:50:00Z,FLAT,20175.5,0,9998.686546,0,0,9998.686546,9.1524
A_emitted_alerts,2022-09-10T18:05:00Z,FLAT,21298.1,0,9998.627418,0,0,9998.627418,9.163
A_emitted_alerts,2022-09-10T06:05:00Z,FLAT,21545.4,0,10002.85381,0,0,10002.85381,9.1246
A_emitted_alerts,2022-09-10T18:05:00Z,FLAT,21298.1,0,9998.627418,0,0,9998.627418,9.163
A_emitted_alerts,2022-09-11T23:55:00Z,OPEN,21777.1,0.04592195289,9987.505072,1000,0.04696024824,10987.55203,0.1786
A_emitted_alerts,2022-09-11T09:50:00Z,FLAT,21610.2,0,9995.102361,0,0,9995.102361,9.195
A_emitted_alerts,2022-09-11T17:20:00Z,FLAT,21695,0,9994.072937,0,0,9994.072937,9.2043
A_emitted_alerts,2022-09-11T22:20:00Z,FLAT,21592.4,0,9988.005072,0,0,9988.005072,9.2595
A_emitted_alerts,2022-09-12T21:05:00Z,FLAT,22380,0,9992.239395,0,0,9992.239395,9.221
A_emitted_alerts,2022-09-12T00:50:00Z,FLAT,21705.6,0,9983.670604,0,0,9983.670604,9.2988
A_emitted_alerts,2022-09-12T08:20:00Z,FLAT,22140,0,9995.284433,0,0,9995.284433,9.1933
A_emitted_alerts,2022-09-12T21:05:00Z,FLAT,22380,0,9992.239395,0,0,9992.239395,9.221
A_emitted_alerts,2022-09-13T06:20:00Z,FLAT,22411.4,0,9993.488977,0,0,9993.488977,9.2096
A_emitted_alerts,2022-09-13T06:20:00Z,FLAT,22411.4,0,9993.488977,0,0,9993.488977,9.2096
A_emitted_alerts,2022-09-23T05:35:00Z,FLAT,19391.7,0,9989.775503,0,0,9989.775503,9.2434
A_emitted_alerts,2022-09-23T05:35:00Z,FLAT,19391.7,0,9989.775503,0,0,9989.775503,9.2434
A_emitted_alerts,2022-09-24T22:05:00Z,FLAT,18917.4,0,9974.342748,0,0,9974.342748,9.3836
A_emitted_alerts,2022-09-24T17:05:00Z,FLAT,19109,0,9986.477788,0,0,9986.477788,9.2733
A_emitted_alerts,2022-09-24T22:05:00Z,FLAT,18917.4,0,9974.342748,0,0,9974.342748,9.3836
A_emitted_alerts,2022-09-26T23:55:00Z,OPEN,19229.5,0.05213188653,9971.876086,1000,2.470112005,10974.3462,0.2986
A_emitted_alerts,2022-09-26T20:20:00Z,FLAT,19142.9,0,9972.376086,0,0,9972.376086,9.4014
A_emitted_alerts,2022-09-27T00:50:00Z,FLAT,19343.1,0,9979.663395,0,0,9979.663395,9.3352
A_emitted_alerts,2022-09-27T00:50:00Z,FLAT,19343.1,0,9979.663395,0,0,9979.663395,9.3352
A_emitted_alerts,2022-09-29T11:05:00Z,FLAT,19372.2,0,9966.635076,0,0,9966.635076,9.4536
A_emitted_alerts,2022-09-29T06:05:00Z,FLAT,19415.4,0,9971.253572,0,0,9971.253572,9.4116
A_emitted_alerts,2022-09-29T11:05:00Z,FLAT,19372.2,0,9966.635076,0,0,9966.635076,9.4536
A_emitted_alerts,2022-09-30T15:50:00Z,FLAT,19895.3,0,9961.910473,0,0,9961.910473,9.4965
A_emitted_alerts,2022-09-30T08:20:00Z,FLAT,19556.5,0,9967.739914,0,0,9967.739914,9.4436
A_emitted_alerts,2022-09-30T15:50:00Z,FLAT,19895.3,0,9961.910473,0,0,9961.910473,9.4965
A_emitted_alerts,2022-10-04T21:20:00Z,FLAT,20350.7,0,9974.741698,0,0,9974.741698,9.38
A_emitted_alerts,2022-10-04T07:05:00Z,FLAT,19852.2,0,9973.997734,0,0,9973.997734,9.3867
A_emitted_alerts,2022-10-04T15:20:00Z,FLAT,20083.1,0,9969.173717,0,0,9969.173717,9.4305
A_emitted_alerts,2022-10-04T21:20:00Z,FLAT,20350.7,0,9974.741698,0,0,9974.741698,9.38
A_emitted_alerts,2022-10-05T23:55:00Z,OPEN,20160,0.04963071108,9966.708611,1000,0.5551353853,10967.26375,0.3629
A_emitted_alerts,2022-10-05T08:50:00Z,FLAT,20131.5,0,9967.208611,0,0,9967.208611,9.4484
A_emitted_alerts,2022-10-06T14:50:00Z,FLAT,20096,0,9959.335736,0,0,9959.335736,9.5199
A_emitted_alerts,2022-10-06T00:20:00Z,FLAT,20266.7,0,9971.955883,0,0,9971.955883,9.4053
A_emitted_alerts,2022-10-06T13:35:00Z,FLAT,20151.5,0,9963.885846,0,0,9963.885846,9.4786
A_emitted_alerts,2022-10-06T14:50:00Z,FLAT,20096,0,9959.335736,0,0,9959.335736,9.5199
A_emitted_alerts,2022-10-14T02:50:00Z,FLAT,19805.8,0,9955.463863,0,0,9955.463863,9.5551
